client_id;project_ids;project_name;service_type;term_months;flight_no;flight_start;flight_end;last_active_month;status;report_generated_at;audit_flag;audit_comment
301;301;Аврора Клиник;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01;ok;Существенных противоречий с доступными исходными данными не найдено.
301;301;Аврора Клиник;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2025-09-01;ok;Существенных противоречий с доступными исходными данными не найдено.
302;302;БетаСтрой;Крауд-маркетинг;6;1;2024-02-01;2024-07-01;2024-07-01;непролонгировано;2025-09-01;ok;Существенных противоречий с доступными исходными данными не найдено.
303;303;Эверест Тур;Управление репутацией;6;1;2024-03-01;2024-08-01;2024-06-01;отвал;2025-09-01;ok;Существенных противоречий с доступными исходными данными не найдено.
304;304;Нова Медиа;Разовый аудит;1;1;2024-05-01;2024-05-01;2024-05-01;завершился (разовые работы);2025-09-01;ok;Существенных противоречий с доступными исходными данными не найдено.
311;310|311;Гамма Ритейл Про;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01;ok;Существенных противоречий с доступными исходными данными не найдено.
311;310|311;Гамма Ритейл Про;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2025-09-01;ok;Существенных противоречий с доступными исходными данными не найдено.
321;320|321;Дельта Реклама;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01;source_overlap;"projects_history фиксирует переход 320→321 с 2024-04, но works содержит оба project_id одновременно в 2024-04—2024-06. Статусы флайтов не меняю; суммы нельзя складывать без уточнения."
321;320|321;Дельта Реклама;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;непролонгировано;2025-09-01;source_overlap;"projects_history фиксирует переход 320→321 с 2024-04, но works содержит оба project_id одновременно в 2024-04—2024-06. Статусы флайтов не меняю; суммы нельзя складывать без уточнения."
330;330;Кварц Медиа;Крауд-маркетинг;6;1;2024-01-01;2024-06-01;2024-06-01;непролонгировано;2025-09-01;service_change_ambiguous;"До 2024-07 service_changes указывает Крауд-маркетинг (6 мес.), поэтому исходный 12-месячный флайт Мониторинга неверен. После смены услуги есть пауза 2024-07—10; трактую старый флайт как непролонгированный, но бизнес-смысл смены услуги нужно подтвердить."
330;330;Кварц Медиа;Мониторинг СМИ;12;2;2024-07-01;2025-06-01;2025-02-01;непролонгировано;2025-09-01;service_change_ambiguous;"Новая услуга действует с 2024-07, но отгрузки появляются только 2024-11—2025-02. Оставляю непролонгацию как рабочее допущение; нужно уточнить, стартует ли флайт с даты смены услуги или с первой отгрузки."
331;331;Титан Строй;Мониторинг СМИ;12;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2025-09-01;service_change_ambiguous;До 2024-07 service_changes указывает Мониторинг СМИ (12 мес.), а не Управление репутацией. Клиент продолжил работу после смены услуги, поэтому статус оставлен как 'пролонгировано', но границу флайта при смене услуги нужно согласовать.
331;331;Титан Строй;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2025-09-01;service_change;"С 2024-07 новая услуга — Управление репутацией (6 мес.); границы 2024-07—12 и непролонгация подтверждаются отсутствием отгрузок после декабря."
340;340;Сигма Групп;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-04-01;отвал;2025-09-01;ambiguous_source;STOP 2024-05 поддерживает статус 'отвал', но последующие отгрузки 2024-06—2024-09 противоречат окончательному уходу клиента.
340;340;Сигма Групп;Управление репутацией;6;2;2024-06-01;2024-11-01;2024-09-01;непролонгировано;2025-09-01;ambiguous_source;"Исправлен flight_no 1→2. В works есть STOP 2024-05, но затем снова есть отгрузки 2024-06—2024-09; нужно уточнить, это реактивация после отвала или ошибочная пометка STOP."
350;350;Орион Диджитал;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;пролонгировано;2025-09-01;stale_report;works актуальнее отчёта: после окончания первого флайта 2025-08 есть отгрузки с 2025-09, значит первый флайт продлён.
351;351;Пульс Медиа;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;непролонгировано;2025-09-01;stale_report;"В исходном отчёте статус был 'неизвестно' на 2025-09-01. В актуальном works данные доходят до 2026-01, но продолжения после 2025-08 нет; статус можно закрыть как непролонгировано."
350;350;Орион Диджитал;Управление репутацией;6;2;2025-09-01;2026-02-01;2026-01-01;неизвестно;2025-09-01;new_after_report;Флайт появился после построения исходного отчёта. На максимальную дату works (2026-01) он ещё не завершён.
