client_id,project_ids,project_name,service_type,term_months,flight_no,flight_key,flight_start,flight_end,last_active_month,status,status_group,is_decided_flight,is_renewed,is_churn,active_months_approx,audit_flag,is_ambiguous,audit_comment,report_generated_at
301,301,Аврора Клиник,Управление репутацией,6,1,301_1_2024-01,2024-01-01,2024-06-01,2024-06-01,пролонгировано,Пролонгация,1,1,0,6,ok,0,Существенных противоречий с доступными исходными данными не найдено.,2025-09-01
301,301,Аврора Клиник,Управление репутацией,6,2,301_2_2024-07,2024-07-01,2024-12-01,2024-12-01,непролонгировано,Отток,1,0,1,6,ok,0,Существенных противоречий с доступными исходными данными не найдено.,2025-09-01
302,302,БетаСтрой,Крауд-маркетинг,6,1,302_1_2024-02,2024-02-01,2024-07-01,2024-07-01,непролонгировано,Отток,1,0,1,6,ok,0,Существенных противоречий с доступными исходными данными не найдено.,2025-09-01
303,303,Эверест Тур,Управление репутацией,6,1,303_1_2024-03,2024-03-01,2024-08-01,2024-06-01,отвал,Отток,1,0,1,4,ok,0,Существенных противоречий с доступными исходными данными не найдено.,2025-09-01
304,304,Нова Медиа,Разовый аудит,1,1,304_1_2024-05,2024-05-01,2024-05-01,2024-05-01,завершился (разовые работы),Разовые работы,0,0,0,1,ok,0,Существенных противоречий с доступными исходными данными не найдено.,2025-09-01
311,310|311,Гамма Ритейл Про,Управление репутацией,6,1,311_1_2024-01,2024-01-01,2024-06-01,2024-06-01,пролонгировано,Пролонгация,1,1,0,6,ok,0,Существенных противоречий с доступными исходными данными не найдено.,2025-09-01
311,310|311,Гамма Ритейл Про,Управление репутацией,6,2,311_2_2024-07,2024-07-01,2024-12-01,2024-12-01,непролонгировано,Отток,1,0,1,6,ok,0,Существенных противоречий с доступными исходными данными не найдено.,2025-09-01
321,320|321,Дельта Реклама,Управление репутацией,6,1,321_1_2024-01,2024-01-01,2024-06-01,2024-06-01,пролонгировано,Пролонгация,1,1,0,6,source_overlap,1,"projects_history фиксирует переход 320→321 с 2024-04, но works содержит оба project_id одновременно в 2024-04—2024-06. Статусы флайтов не меняю; суммы нельзя складывать без уточнения.",2025-09-01
321,320|321,Дельта Реклама,Управление репутацией,6,2,321_2_2024-07,2024-07-01,2024-12-01,2024-09-01,непролонгировано,Отток,1,0,1,3,source_overlap,1,"projects_history фиксирует переход 320→321 с 2024-04, но works содержит оба project_id одновременно в 2024-04—2024-06. Статусы флайтов не меняю; суммы нельзя складывать без уточнения.",2025-09-01
330,330,Кварц Медиа,Крауд-маркетинг,6,1,330_1_2024-01,2024-01-01,2024-06-01,2024-06-01,непролонгировано,Отток,1,0,1,6,service_change_ambiguous,1,"До 2024-07 service_changes указывает Крауд-маркетинг (6 мес.), поэтому исходный 12-месячный флайт Мониторинга неверен. После смены услуги есть пауза 2024-07—10; трактую старый флайт как непролонгированный, но бизнес-смысл смены услуги нужно подтвердить.",2025-09-01
330,330,Кварц Медиа,Мониторинг СМИ,12,2,330_2_2024-07,2024-07-01,2025-06-01,2025-02-01,непролонгировано,Отток,1,0,1,8,service_change_ambiguous,1,"Новая услуга действует с 2024-07, но отгрузки появляются только 2024-11—2025-02. Оставляю непролонгацию как рабочее допущение; нужно уточнить, стартует ли флайт с даты смены услуги или с первой отгрузки.",2025-09-01
331,331,Титан Строй,Мониторинг СМИ,12,1,331_1_2024-01,2024-01-01,2024-06-01,2024-06-01,пролонгировано,Пролонгация,1,1,0,6,service_change_ambiguous,1,"До 2024-07 service_changes указывает Мониторинг СМИ (12 мес.), а не Управление репутацией. Клиент продолжил работу после смены услуги, поэтому статус оставлен как 'пролонгировано', но границу флайта при смене услуги нужно согласовать.",2025-09-01
331,331,Титан Строй,Управление репутацией,6,2,331_2_2024-07,2024-07-01,2024-12-01,2024-12-01,непролонгировано,Отток,1,0,1,6,service_change,1,С 2024-07 новая услуга — Управление репутацией (6 мес.); границы 2024-07—12 и непролонгация подтверждаются отсутствием отгрузок после декабря.,2025-09-01
340,340,Сигма Групп,Управление репутацией,6,1,340_1_2024-01,2024-01-01,2024-06-01,2024-04-01,отвал,Отток,1,0,1,4,ambiguous_source,1,"STOP 2024-05 поддерживает статус 'отвал', но последующие отгрузки 2024-06—2024-09 противоречат окончательному уходу клиента.",2025-09-01
340,340,Сигма Групп,Управление репутацией,6,2,340_2_2024-06,2024-06-01,2024-11-01,2024-09-01,непролонгировано,Отток,1,0,1,4,ambiguous_source,1,"Исправлен flight_no 1→2. В works есть STOP 2024-05, но затем снова есть отгрузки 2024-06—2024-09; нужно уточнить, это реактивация после отвала или ошибочная пометка STOP.",2025-09-01
350,350,Орион Диджитал,Управление репутацией,6,1,350_1_2025-03,2025-03-01,2025-08-01,2025-08-01,пролонгировано,Пролонгация,1,1,0,6,stale_report,1,"works актуальнее отчёта: после окончания первого флайта 2025-08 есть отгрузки с 2025-09, значит первый флайт продлён.",2025-09-01
351,351,Пульс Медиа,Управление репутацией,6,1,351_1_2025-03,2025-03-01,2025-08-01,2025-08-01,непролонгировано,Отток,1,0,1,6,stale_report,1,"В исходном отчёте статус был 'неизвестно' на 2025-09-01. В актуальном works данные доходят до 2026-01, но продолжения после 2025-08 нет; статус можно закрыть как непролонгировано.",2025-09-01
350,350,Орион Диджитал,Управление репутацией,6,2,350_2_2025-09,2025-09-01,2026-02-01,2026-01-01,неизвестно,Не определено,0,0,0,5,new_after_report,1,Флайт появился после построения исходного отчёта. На максимальную дату works (2026-01) он ещё не завершён.,2025-09-01
